"UNIQUEID","complexity_rationale","construct_actually_tested"
"PQ_SWP-02_1","This is a Recall item because it requires retrieving established research findings about retention's long-term academic outcomes without applying findings to a new scenario or comparing competing frameworks.","Longitudinal research on grade retention and long-term academic achievement including dropout risk"
"PQ_SWP-02_2","This is an Application item because it requires the student to identify evidence-based alternatives to retention and evaluate why intensive intervention outperforms retention for a specific literacy problem in a grade context.","Selection and justification of evidence-based reading intervention over retention for below-grade-level performance"
"PQ_SWP-02_3","This is an Application item because it requires evaluating the nuanced, context-dependent effects of academic redshirting while considering individual variation and potential equity concerns across demographic groups.","Evaluation of academic redshirting effects with attention to developmental benefit, age stratification risk, and group disparities"
"PQ_SWP-02_4","This is a Recall item because it requires retrieving documented relationships between high-stakes testing policy implementation and retention rate increases as an empirical fact without scenario interpretation.","Policy-practice link between high-stakes testing mandates and increased grade retention as accountability response"
"PQ_SWP-02_5","This is a Recall item because it asks for identification of the most research-supported retention alternative without requiring application to a specific case or synthesis across competing intervention models.","Evidence-based alternatives to grade retention including summer remediation, promotion, and sustained Tier 2 support"
"PQ_SWP-02_6","This is a Recall item because it requires retrieving research findings on the relationship between rigid between-class tracking and achievement gap widening as an established empirical pattern.","Research evidence on rigid ability grouping and between-class tracking effects on achievement gap trajectories"
"PQ_SWP-02_7","This is an Application item because it requires interpreting detracking as a complex intervention with conditional effects dependent on implementation quality, instructional support, and differentiation for diverse learners.","Detracking effects on achievement and equity mediated by instruction quality, professional development, and differentiation"
"PQ_SWP-02_8","This is a Recall item because it requires recalling the empirical outcomes of Florida's mandatory 3rd-grade reading retention policy based on research evaluation without applying to a new policy context.","Research findings on Florida mandatory retention policy outcomes and implementation effects on reading achievement"
"PQ_SWP-02_9","This is a Recall item because it asks for identification of a specific historical desegregation policy by name and its key characteristic without requiring application to a new segregation scenario.","Definition of the Joplin Plan as tracked desegregation policy and its inadequacy in addressing within-school segregation"
"PQ_SWP-02_10","This is an Application item because it requires connecting retention and tracking practices to systemic outcomes within the school-to-prison pipeline through a complex causal chain of disengagement and justice involvement.","Mechanisms linking retention and lower-track placement to disengagement, dropout, and school-to-prison pipeline involvement"
"PQ_SWP-02_11","This is an Application item because the student must identify which evidence and data are most critical for a sound retention decision and evaluate readiness while considering research on retention effectiveness.","Critical decision factors for retention including intervention history, readiness assessment, research evidence, and alternatives"
"PQ_SWP-02_12","This is a Recall item because it requires retrieving the established empirical relationship between grade retention and subsequent dropout risk, particularly with repeated retentions, without new scenario application.","Predictive relationship between grade retention and dropout risk with cumulative effect of multiple retentions"
"PQ_SWP-02_13","This is an Application item because it requires evaluating acceleration for a gifted student while distinguishing between performance barriers (anxiety/perfectionism) and ability, then determining how to address underlying factors.","Conditional viability of acceleration for gifted underperformers when affective barriers are addressed before placement"
"PQ_SWP-02_14","This is a Recall item because it requires identifying the defining characteristic of within-class grouping versus between-class tracking, specifically flexibility and student movement, without applying to new instructional contexts.","Distinction between within-class grouping flexibility and between-class tracking rigidity in terms of student mobility"
"PQ_SWP-02_15","This is a Recall item because it requires identifying what ESSA policy specifies about state retention mandates without applying the policy to a new accountability or retention decision scenario.","ESSA policy provisions regarding state flexibility in retention policy and discouragement of purely punitive retention"
"PQ_SWP-02_16","This is an Application item because the student must interpret disproportionate minority retention after controlling for achievement and recognize potential bias as a pattern requiring examination and equity intervention.","Recognition of disproportionate retention patterns in minority students as indicator of decision-making bias and need for equity review"
"PQ_SWP-02_17","This is an Application item because it requires identifying multiple critical factors for evaluating an English learner's retention decision, including language proficiency, native literacy, schooling duration, and instructional quality.","Multifactorial assessment of English learner retention including US schooling duration, dual-language proficiency, and instruction quality"
"PQ_SWP-02_18","This is a Recall item because it requires retrieving meta-analytic findings about retention's consistent negative effects on self-esteem and motivation, especially when socially perceived negatively.","Meta-analytic evidence on retention's negative effects on self-esteem and motivation mediated by peer perception"
"PQ_SWP-02_19","This is a Recall item because it requires identifying the foundational goal of early intervention for struggling readers without requiring analysis of intervention mechanisms or evaluation of implementation effectiveness.","Prevention purpose of early identification and intervention to forestall need for grade retention in struggling readers"
"PQ_SWP-02_20","This is an Application item because it requires evaluating how to balance policy consistency with individual student circumstances and synthesizing evidence-based decision-making principles with flexible policy implementation.","Integration of individual student needs with policy-level decisions through flexible, evidence-based, non-punitive alternatives to retention"
"item_033","This is an Application item because it requires the school psychologist to counsel parents by referencing evidence on intervention-first approaches, evaluating retention effectiveness, and recommending a decision-making process aligned with research.","Evidence-based counseling position that interventions precede retention decisions and that documentation of intervention ineffectiveness should guide placement choices"
"item_128","This is a Recall item because it asks for identification of the one context where RTI data is not typically used, retrieving knowledge of RTI application boundaries without interpreting complex assessment scenarios.","Appropriate uses of RTI data in problem identification, intervention targeting, and outcomes evaluation versus retention decision-making"
"item_193","This is an Application item because it requires the school psychologist to move beyond retention consideration and interpret the student's struggles as potentially requiring comprehensive MTSS assessment or special education evaluation.","Decision-making logic to distinguish between grade placement versus comprehensive MTSS evaluation and special education eligibility assessment"
